"BA Code","Timestamp (Hour Ending)","Demand (MWh)"
NYIS,"10/26/2025 12 a.m. EDT",14179
NYIS,"10/26/2025 1 a.m. EDT",13647
NYIS,"10/26/2025 2 a.m. EDT",13250
NYIS,"10/26/2025 3 a.m. EDT",12959
NYIS,"10/26/2025 4 a.m. EDT",12809
NYIS,"10/26/2025 5 a.m. EDT",12822
NYIS,"10/26/2025 6 a.m. EDT",12984
NYIS,"10/26/2025 7 a.m. EDT",13477
NYIS,"10/26/2025 8 a.m. EDT",14006
NYIS,"10/26/2025 9 a.m. EDT",14083
NYIS,"10/26/2025 10 a.m. EDT",13493
NYIS,"10/26/2025 11 a.m. EDT",12863
NYIS,"10/26/2025 12 p.m. EDT",12492
NYIS,"10/26/2025 1 p.m. EDT",12474
NYIS,"10/26/2025 2 p.m. EDT",12620
NYIS,"10/26/2025 3 p.m. EDT",12788
NYIS,"10/26/2025 4 p.m. EDT",13237
NYIS,"10/26/2025 5 p.m. EDT",14330
NYIS,"10/26/2025 6 p.m. EDT",15753
NYIS,"10/26/2025 7 p.m. EDT",16642
NYIS,"10/26/2025 8 p.m. EDT",16698
NYIS,"10/26/2025 9 p.m. EDT",16398
NYIS,"10/26/2025 10 p.m. EDT",15855
NYIS,"10/26/2025 11 p.m. EDT",15090
NYIS,"10/27/2025 12 a.m. EDT",14330
NYIS,"10/27/2025 1 a.m. EDT",13816
NYIS,"10/27/2025 2 a.m. EDT",13437
NYIS,"10/27/2025 3 a.m. EDT",13243
NYIS,"10/27/2025 4 a.m. EDT",13173
NYIS,"10/27/2025 5 a.m. EDT",13470
NYIS,"10/27/2025 6 a.m. EDT",14295
NYIS,"10/27/2025 7 a.m. EDT",15865
NYIS,"10/27/2025 8 a.m. EDT",17041
NYIS,"10/27/2025 9 a.m. EDT",16873
NYIS,"10/27/2025 10 a.m. EDT",15885
NYIS,"10/27/2025 11 a.m. EDT",15052
NYIS,"10/27/2025 12 p.m. EDT",14568
NYIS,"10/27/2025 1 p.m. EDT",14282
NYIS,"10/27/2025 2 p.m. EDT",14124
NYIS,"10/27/2025 3 p.m. EDT",14119
NYIS,"10/27/2025 4 p.m. EDT",14539
NYIS,"10/27/2025 5 p.m. EDT",15758
NYIS,"10/27/2025 6 p.m. EDT",17326
NYIS,"10/27/2025 7 p.m. EDT",18083
NYIS,"10/27/2025 8 p.m. EDT",17977
NYIS,"10/27/2025 9 p.m. EDT",17498
NYIS,"10/27/2025 10 p.m. EDT",16743
NYIS,"10/27/2025 11 p.m. EDT",15773
NYIS,"10/28/2025 12 a.m. EDT",14801
NYIS,"10/28/2025 1 a.m. EDT",14183
NYIS,"10/28/2025 2 a.m. EDT",13776
NYIS,"10/28/2025 3 a.m. EDT",13505
NYIS,"10/28/2025 4 a.m. EDT",13401
NYIS,"10/28/2025 5 a.m. EDT",13629
NYIS,"10/28/2025 6 a.m. EDT",14470
NYIS,"10/28/2025 7 a.m. EDT",16019
NYIS,"10/28/2025 8 a.m. EDT",17127
NYIS,"10/28/2025 9 a.m. EDT",16892
NYIS,"10/28/2025 10 a.m. EDT",15730
NYIS,"10/28/2025 11 a.m. EDT",14977
NYIS,"10/28/2025 12 p.m. EDT",14963
NYIS,"10/28/2025 1 p.m. EDT",14974
NYIS,"10/28/2025 2 p.m. EDT",14803
NYIS,"10/28/2025 3 p.m. EDT",14615
NYIS,"10/28/2025 4 p.m. EDT",14884
NYIS,"10/28/2025 5 p.m. EDT",15980
NYIS,"10/28/2025 6 p.m. EDT",17461
NYIS,"10/28/2025 7 p.m. EDT",18190
NYIS,"10/28/2025 8 p.m. EDT",18066
NYIS,"10/28/2025 9 p.m. EDT",17553
NYIS,"10/28/2025 10 p.m. EDT",16792
NYIS,"10/28/2025 11 p.m. EDT",15803
NYIS,"10/29/2025 12 a.m. EDT",14830
NYIS,"10/29/2025 1 a.m. EDT",14158
NYIS,"10/29/2025 2 a.m. EDT",13743
NYIS,"10/29/2025 3 a.m. EDT",13469
NYIS,"10/29/2025 4 a.m. EDT",13368
NYIS,"10/29/2025 5 a.m. EDT",13572
NYIS,"10/29/2025 6 a.m. EDT",14351
NYIS,"10/29/2025 7 a.m. EDT",15860
NYIS,"10/29/2025 8 a.m. EDT",16965
NYIS,"10/29/2025 9 a.m. EDT",16934
NYIS,"10/29/2025 10 a.m. EDT",16122
NYIS,"10/29/2025 11 a.m. EDT",15480
NYIS,"10/29/2025 12 p.m. EDT",15173
NYIS,"10/29/2025 1 p.m. EDT",15108
NYIS,"10/29/2025 2 p.m. EDT",15032
NYIS,"10/29/2025 3 p.m. EDT",14987
NYIS,"10/29/2025 4 p.m. EDT",15288
NYIS,"10/29/2025 5 p.m. EDT",16172
NYIS,"10/29/2025 6 p.m. EDT",17458
NYIS,"10/29/2025 7 p.m. EDT",18034
NYIS,"10/29/2025 8 p.m. EDT",17822
NYIS,"10/29/2025 9 p.m. EDT",17334
NYIS,"10/29/2025 10 p.m. EDT",16583
NYIS,"10/29/2025 11 p.m. EDT",15605
NYIS,"10/30/2025 12 a.m. EDT",14634
NYIS,"10/30/2025 1 a.m. EDT",13975
NYIS,"10/30/2025 2 a.m. EDT",13527
NYIS,"10/30/2025 3 a.m. EDT",13229
NYIS,"10/30/2025 4 a.m. EDT",13135
NYIS,"10/30/2025 5 a.m. EDT",13311
NYIS,"10/30/2025 6 a.m. EDT",14032
NYIS,"10/30/2025 7 a.m. EDT",15454
NYIS,"10/30/2025 8 a.m. EDT",16722
NYIS,"10/30/2025 9 a.m. EDT",17307
NYIS,"10/30/2025 10 a.m. EDT",17581
NYIS,"10/30/2025 11 a.m. EDT",17725
NYIS,"10/30/2025 12 p.m. EDT",17668
NYIS,"10/30/2025 1 p.m. EDT",17519
NYIS,"10/30/2025 2 p.m. EDT",17715
NYIS,"10/30/2025 3 p.m. EDT",17745
NYIS,"10/30/2025 4 p.m. EDT",17776
NYIS,"10/30/2025 5 p.m. EDT",17968
NYIS,"10/30/2025 6 p.m. EDT",18125
NYIS,"10/30/2025 7 p.m. EDT",18240
NYIS,"10/30/2025 8 p.m. EDT",17831
NYIS,"10/30/2025 9 p.m. EDT",17335
NYIS,"10/30/2025 10 p.m. EDT",16587
NYIS,"10/30/2025 11 p.m. EDT",15625
NYIS,"10/31/2025 12 a.m. EDT",14682
NYIS,"10/31/2025 1 a.m. EDT",13997
NYIS,"10/31/2025 2 a.m. EDT",13502
NYIS,"10/31/2025 3 a.m. EDT",13187
NYIS,"10/31/2025 4 a.m. EDT",13062
NYIS,"10/31/2025 5 a.m. EDT",13200
NYIS,"10/31/2025 6 a.m. EDT",13867
NYIS,"10/31/2025 7 a.m. EDT",15252
NYIS,"10/31/2025 8 a.m. EDT",16272
NYIS,"10/31/2025 9 a.m. EDT",16619
NYIS,"10/31/2025 10 a.m. EDT",16813
NYIS,"10/31/2025 11 a.m. EDT",16876
NYIS,"10/31/2025 12 p.m. EDT",16734
NYIS,"10/31/2025 1 p.m. EDT",16489
NYIS,"10/31/2025 2 p.m. EDT",16442
NYIS,"10/31/2025 3 p.m. EDT",16420
NYIS,"10/31/2025 4 p.m. EDT",16586
NYIS,"10/31/2025 5 p.m. EDT",16914
NYIS,"10/31/2025 6 p.m. EDT",17255
