BA Code,Timestamp (Hour Ending),Demand (MWh)
CISO,10/26/2025 12 a.m.,22882
CISO,10/26/2025 1 a.m.,21940
CISO,10/26/2025 2 a.m.,21251
CISO,10/26/2025 3 a.m.,20357
CISO,10/26/2025 4 a.m.,19842
CISO,10/26/2025 5 a.m.,19322
CISO,10/26/2025 6 a.m.,19282
CISO,10/26/2025 7 a.m.,19246
CISO,10/26/2025 8 a.m.,20049
CISO,10/26/2025 9 a.m.,20530
CISO,10/26/2025 10 a.m.,22520
CISO,10/26/2025 11 a.m.,24183
CISO,10/26/2025 12 p.m.,24203
CISO,10/26/2025 1 p.m.,24729
CISO,10/26/2025 2 p.m.,24508
CISO,10/26/2025 3 p.m.,24347
CISO,10/26/2025 4 p.m.,24231
CISO,10/26/2025 5 p.m.,23781
CISO,10/26/2025 6 p.m.,22854
CISO,10/26/2025 7 p.m.,23893
CISO,10/26/2025 8 p.m.,25305
CISO,10/26/2025 9 p.m.,25259
CISO,10/26/2025 10 p.m.,24376
CISO,10/26/2025 11 p.m.,24181
CISO,10/27/2025 12 a.m.,23212
CISO,10/27/2025 1 a.m.,22104
CISO,10/27/2025 2 a.m.,21341
CISO,10/27/2025 3 a.m.,20762
CISO,10/27/2025 4 a.m.,20651
CISO,10/27/2025 5 a.m.,21062
CISO,10/27/2025 6 a.m.,20359
CISO,10/27/2025 7 a.m.,20901
CISO,10/27/2025 8 a.m.,23001
CISO,10/27/2025 9 a.m.,24318
CISO,10/27/2025 10 a.m.,26253
CISO,10/27/2025 11 a.m.,29646
CISO,10/27/2025 12 p.m.,29129
CISO,10/27/2025 1 p.m.,28087
CISO,10/27/2025 2 p.m.,27413
CISO,10/27/2025 3 p.m.,25878
CISO,10/27/2025 4 p.m.,25991
CISO,10/27/2025 5 p.m.,25666
CISO,10/27/2025 6 p.m.,24501
CISO,10/27/2025 7 p.m.,26186
CISO,10/27/2025 8 p.m.,27399
CISO,10/27/2025 9 p.m.,27111
CISO,10/27/2025 10 p.m.,26065
CISO,10/27/2025 11 p.m.,25319
CISO,10/28/2025 12 a.m.,24142
CISO,10/28/2025 1 a.m.,22618
CISO,10/28/2025 2 a.m.,21968
CISO,10/28/2025 3 a.m.,21470
CISO,10/28/2025 4 a.m.,21027
CISO,10/28/2025 5 a.m.,21150
CISO,10/28/2025 6 a.m.,20905
CISO,10/28/2025 7 a.m.,21332
CISO,10/28/2025 8 a.m.,23596
CISO,10/28/2025 9 a.m.,25059
CISO,10/28/2025 10 a.m.,26505
CISO,10/28/2025 11 a.m.,28354
CISO,10/28/2025 12 p.m.,28151
CISO,10/28/2025 1 p.m.,27390
CISO,10/28/2025 2 p.m.,27069
CISO,10/28/2025 3 p.m.,26513
CISO,10/28/2025 4 p.m.,26936
CISO,10/28/2025 5 p.m.,26660
CISO,10/28/2025 6 p.m.,27020
CISO,10/28/2025 7 p.m.,28314
CISO,10/28/2025 8 p.m.,28638
CISO,10/28/2025 9 p.m.,28177
CISO,10/28/2025 10 p.m.,27202
CISO,10/28/2025 11 p.m.,26176
CISO,10/29/2025 12 a.m.,24858
CISO,10/29/2025 1 a.m.,23162
CISO,10/29/2025 2 a.m.,22469
CISO,10/29/2025 3 a.m.,21525
CISO,10/29/2025 4 a.m.,21407
CISO,10/29/2025 5 a.m.,21260
CISO,10/29/2025 6 a.m.,21427
CISO,10/29/2025 7 a.m.,21616
CISO,10/29/2025 8 a.m.,23789
CISO,10/29/2025 9 a.m.,25185
CISO,10/29/2025 10 a.m.,27098
CISO,10/29/2025 11 a.m.,28526
CISO,10/29/2025 12 p.m.,28125
CISO,10/29/2025 1 p.m.,28354
CISO,10/29/2025 2 p.m.,27915
CISO,10/29/2025 3 p.m.,27436
CISO,10/29/2025 4 p.m.,28058
CISO,10/29/2025 5 p.m.,28427
CISO,10/29/2025 6 p.m.,28462
CISO,10/29/2025 7 p.m.,30058
CISO,10/29/2025 8 p.m.,30351
CISO,10/29/2025 9 p.m.,29072
CISO,10/29/2025 10 p.m.,27918
CISO,10/29/2025 11 p.m.,26909
CISO,10/30/2025 12 a.m.,25455
CISO,10/30/2025 1 a.m.,23654
CISO,10/30/2025 2 a.m.,22657
CISO,10/30/2025 3 a.m.,21518
CISO,10/30/2025 4 a.m.,21064
CISO,10/30/2025 5 a.m.,20981
CISO,10/30/2025 6 a.m.,20869
CISO,10/30/2025 7 a.m.,21396
CISO,10/30/2025 8 a.m.,23363
CISO,10/30/2025 9 a.m.,24663
CISO,10/30/2025 10 a.m.,26360
CISO,10/30/2025 11 a.m.,28673
CISO,10/30/2025 12 p.m.,29142
CISO,10/30/2025 1 p.m.,28621
CISO,10/30/2025 2 p.m.,28032
CISO,10/30/2025 3 p.m.,27912
CISO,10/30/2025 4 p.m.,28403
CISO,10/30/2025 5 p.m.,28654
CISO,10/30/2025 6 p.m.,27548
CISO,10/30/2025 7 p.m.,28352
CISO,10/30/2025 8 p.m.,28733
CISO,10/30/2025 9 p.m.,28066
CISO,10/30/2025 10 p.m.,27390
CISO,10/30/2025 11 p.m.,26297
CISO,10/31/2025 12 a.m.,24924
CISO,10/31/2025 1 a.m.,23345
